OBJECTID,PARK_TYPE,PARK_NAME,LEGAL_ACRES,ShapeSTArea,ShapeSTLength
366,Neighborhood Park,Niu Valley Neighborhood Park,2.05999994,89860.20238,1242.606074
367,Community Park,Waikele Community Park,12.84000015,558683.2461,3323.147213
368,Regional Park,Patsy T. Mink Central Oahu Regional Park,267.354,11514210.38,20527.71137
369,Community Park,Sheridan Community Park,1.73000002,75080.05479,1103.711742
370,District Park,Waiau District Park,31.43000031,1365333.202,4982.91575
371,Regional Park,Kalaeloa Regional Park (future),484,12179108.49,41094.63247
372,Neighborhood Park,Pacheco Neighborhood Park,4.59000015,200623.2902,1803.865334
373,Neighborhood Park,Keaunui NP (future),5.9000001,256490.5471,2041.689268
374,Regional Park,Kualoa Regional Park,153.4100037,6942982.759,15114.03429
375,Land Slippage Area,Waiomao Slide Area,2.42000008,106675.3868,2336.714738
376,Community Garden,Ala Puumalu Community Park,62.38,2767993.609,11380.06822
377,District Park,Salt Lake District Park,84.298,3684771.393,13904.08989
378,Community Park,Laulani Community Park (future),15.60000038,636955.1684,3225.293058
379,Beach Park,Kapiolani Beach Park,7.05200005,468026.3366,4142.177856
380,Beach Park,Kapiolani Park Beach Center,2.59,113129.1004,1361.835234
381,Beach ROW,Koko Kai,0.60000002,29308.6921,773.7042155
382,Regional Park,Ala Moana Regional Park,119.1800003,4928096.949,18216.20398
383,Neighborhood Park,Kawai Nui Neighborhood Park,4.84000015,212331.1197,2714.481832
384,Beach Park,Mauna Lahilahi Beach Park,8.73999977,511238.9777,6436.686649
385,Regional Park,Kahaluu Regional Park,34.61000061,1802166.007,10546.64423
386,Neighborhood Park,Moanalua Valley Neighborhood Park,2.8499999,125206.0159,1825.141453
387,Neighborhood Park,Mother Waldron Neighborhood Park,1.75999999,64642.2925,1172.767258
388,Mini Park,Kaelepulu Mini Park,1.63999999,70314.36255,1158.807511
389,Beach Park,Barbers Point Beach Park,7.38999987,325211.8695,2717.635905
390,Miscellaneous,Pupukea-Paumalu Park,25.88,1127335.377,4274.687073
391,Community Park,Kapaolono Community Park,5.5,239860.0744,1999.334523
392,Miscellaneous,Nuuanu Nursery,57.93999863,2545475.323,7137.032193
393,Neighborhood Park,Kamilo Iki Neighborhood Park,7.19000006,313957.3817,2231.803127
394,Miscellaneous,Ka Iwi (Hawaii Kai) Park (future),29.65999985,1292161.363,8266.249895
395,Neighborhood Park,Makalapa Neighborhood Park,5.96999979,259637.5612,2463.014036
396,Golf Course,Kahuku Golf Course,68,3771600.827,9382.160321
397,Regional Park,Kapiolani Regional Park,154.7299957,5331034.252,19323.61427
398,Beach Park,Laniakea Beach Support Park (undevel),1.88999999,82492.65778,1518.191505
399,Beach Park,Chuns Reef Beach Support Park (undevel),3,84388.84267,1458.080246
400,Beach Park,Chuns Reef Beach Support Park (undevel),3,84388.84267,1458.080246
401,Beach ROW,Ewa Beach Road B,0.03,1495.148872,544.8901583
402,District Park,Waipahu District Park,13.82999992,599672.4762,3251.570094
403,Beach ROW,Kokee Place,0.46000001,35264.66528,883.5441972
404,Neighborhood Park,Heeia Neighborhood Park,3.97000003,171613.1535,1632.083959
405,District Park,Kaneohe District Park,31.37000084,1375547.638,6780.602022
406,Miscellaneous,Kawai Nui Model Airplane Field,10.60000038,461974.8778,3033.915764
407,Miscellaneous,Kawai Nui Gateway Park (undeveloped),4.23000002,184575.654,2340.411753
408,Nature Park/Reserve,Aina Haina Nature Preserve,94.72000122,4126335.62,13735.64926
409,Beach Park,Hauula Beach Park,9.07999992,334007.7329,6071.770202
410,Botanical Garden,Hoomaluhia Botanical Garden,370.7799988,16184765.97,26483.10988
411,Beach Park,Keehi Lagoon Park,71.98000336,3147091.824,7810.663656
412,UrbanPark,Pawaa Park,1.67999995,73521.42962,1086.878146
413,Neighborhood Park,Maukalani Neighborhood Park,4.4000001,195861.0705,1905.028485
414,Beach ROW,Paoa Place,0.38,26310.19993,1640.784324
415,District Park,McCully District Park,1.42999995,61968.34693,996.2673073
416,Beach Park,Pupukea Beach Park,36.56999969,1759822.1,33981.50361
417,Beach ROW,Ke Iki Road B,0.16,8231.759277,759.8011832
418,Mini Park,Kamole Mini Park,2.1500001,92959.57717,1222.453332
419,Community Park,Ahuimanu Community Park,4,175005.3939,1707.248751
420,Beach Park,Leftovers Beach Access Park (undevel),1.12,48902.73303,1274.150513
421,Neighborhood Park,Kuahelani Neighborhood Park,4,175128.4908,1682.717079
422,Beach Park,Punaluu Beach Park,2.83999991,121548.0061,3275.618721
423,UrbanPark,Pacific Palisades Entrance Park,3.91000009,171373.3326,2185.239615
424,Beach ROW,North Kalaheo Ave at Pueohala Place,0.18000001,6956.130585,1053.61421
425,Mini Park,Kalo Place Mini Park,1,44272.02184,912.2881454
426,Beach ROW,Waialua Beach Road,0.08,3490.867935,603.6889952
427,Beach Park,Waimanalo Bay Beach Park,74.76000214,3513121.002,9747.3689
428,Golf Course,Ewa Villages Golf Course,235,10261272.76,38121.75705
429,Beach ROW,Paiko Drive,0.005,616.6709747,210.7207646
430,Beach ROW,Kaneohe Bay Drive B,0.13,4175.294571,767.342082
431,Beach Park,Oneula Beach Park,30,1232657.575,5306.361308
432,District Park,Manoa Valley District Park,29.45999908,1287312.652,5329.058449
