objectid,trail_num,nah,island,quad,district,yrcreated,length_mi,elev_range,st_access,start_pt,end_pt,standard,climate,tspt_type,features,amenities,use_rest,hazards,comments,trailname,st_lengthshape
76,KA 01 016,Y,Kauai,01,Waimea,1930s,5,1917,2-Wheel Drive,"13.1 mi on Hwy 550, Waimea C. SP",1400-foot elev. on Kauhao Ridge,N/A,"Mild, Dry","Foot, Bicycle, Horse, 4WD","Hike, Hunt, Nature Study,  Archery",None,Day,"Hunters, Cliffs, Landslides",Length from Contour Road.,Kauhao Ridge Road,8701.42493946211
77,KA 01 037,Y,Kauai,01,Waimea, ,2.5,1340,2-Wheel Drive,Makaha Ridge Road,Makaha Arboretum, , ,"Foot, Bicycle, Horse","Hike, Hunt",None, ,Hunters,No Data Sheet submitted,Makaha Road,6045.32477649953
78,KA 01 008,Y,Kauai,01,Waimea,1930s,3.79999995,540,2-Wheel Drive,0.25 mi on Makaha Ridge Road,Milolii Ridge at picnic shelter,N/A,"Mild, Dry",4WD,"Hike, Hunt, Nature Study","Shelters, Tables",Day,"Hunters, Cliffs, Bees", ,Milolii Ridge Road,4149.9501931577
79,KA 01 009,Y,Kauai,01,Waimea,1960s,3.5,1340,4-Wheel Drive,End of Milolii Ridge Road,1720-foot elev. of Milolii Ridge,Difficult,"Mild, Dry","Foot, Bicycle, Horse","Hike, Hunt, Nature Study",Shelters,Day,"Hunters, Cliffs, Bees",Hazardous cliffs at end.,Milolii Ridge Trail,4123.15254073371
80,KA 03 022,Y,Kauai,03,Waimea,1920s,6.0999999,280,4-Wheel Drive,"15.5 mi on Hwy 550, Kokee SP",Camp 10,N/A,"Cold, Wet",4WD,"Fish, Hike, Hunt, Nature Study, Stream, 4WD","Bridges, Camping, Shelters, Tables, Toilets",None,"Landslides, Hunters, Flooding, Cliffs",Road slick with the slightest rain.,Mohihi-Camp 10 Road,9352.93665721815
124,HA 37 002,Y,Hawaii,37,Hamakua,1972,6.19999981,2805,4-Wheel Drive,Kamakoa Gulch Mauna Kea Hunter Rd,Above 10200' elevation Muna Kea,Moderate,Cold,"Foot, Horse, 4WD","Hike, Hunt, Culture, Bio Sens, Nature Study",None,None,"Blind Corner, High Elevation, Hunters, Sun", ,Skyline Road,8748.71417825471
135, ,O,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Akamai Track (perimeter),44.6304927936936
81,KA 07 004,Y,Kauai,07,Lihue,Unknown,3,120,2-Wheel Drive,Keahua Arboretum,Waikoko gate,N/A,"Mild, Wet","4WD, Bicycle, Motorcycle","Hike, Hunt",None,Day,"Hunters, Stream Crossing", ,Wailua Forest Management Road,3496.55537314787
82,OA 07 002,Y,Oahu,07,Koolauloa,Unknown,2.5,600,2-Wheel Drive,"End Pupukea Rd-gate, Boy Scout Camp",Pupukea F.R. road,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Bio. Sens., Stream","Bridge, Parking Shelter",Time,"Hunters, Footing, Narrow trail, Stream, Uneven","Open weekends, state-Nat'l holidays",Kaunala Trail (West),2901.97409029959
83,OA 01 004,Y,Oahu,01,Waialua,Unknown,7.30000019,600,2-Wheel Drive,Firebreak Mauka Rd. Near KPSTS Rd.,Firebreak Rd-Mokuleia Ranch Land,N/A,Mild,"4WD, Foot","Hike, Nature Study, Hunt",None,Permit,"Footing, Hunters",Permit-DOFAW. Road meanders in gulches,Mokuleia-Makai Road,366.54491449004
102,HA 14 001,Y,Hawaii,15,South Kohala,Ancient,3.79999995,30,2-Wheel Drive,Spencer Beach Park (County),Puako Boat Ramp (State),Moderate,Hot,Foot,"Hike, Beach, Fish, Nature Study","Toilet, Parking, Camping, Cabins, Potable water",See Memo,"Cliff, Footing, Flash Floods, Stream, Sun",See Memo,Ala Kahakai Trail (Hapuna-Puako Sector),1930.13341902813
84,MA 04 009,Y,Maui,04,Wailuku, ,1.20000005,200,2-Wheel Drive,Between mile 40 and 41 on Hwy 30,Same as start, , ,"Foot, Wheelchair",Hike,Interpretive Signs, ,Cliffs, ,Ohai Loop Trail and Overlook,1835.70074579252
85,MA 06 001,Y,Maui,06,"Wailuku, Lahaina",Ancient,5.5,1600,2-Wheel Drive,Manawaipueo Gulch/w. side of Lahai,Edge of fields near jct. of Hwy 30,Difficult,"Hot, Dry",Foot,"Archaeology, Hike",None,None,Footing,Na Ala Hele Demonstration Trail,Lahaina Pali Trail,7246.56873001407
103, ,O,Maui,08,Wailuku, ,0,0,2-Wheel Drive, ,Same as start, , ,Motocycle,Motocross Track,Toilet, , , ,Maui Motocross Track (perimeter),1009.25977086218
86,LA 02 026,Y,Lanai,02,Lahaina,Unknown,1.75,140,2-Wheel Drive,West end of Hulopoe Beach,Steep gulch at Huawai Bay,Difficult,"Hot, Dry",Foot,"Hike, Fish, Archaeology, Nataure Study, Camp","Showers, Parking, Toilets, Camping, Tables",Private Access,"Cliffs, Waves",Acc to ocean down steep cliff using rope,"Hulopei-Huawai Fisherman's Trail
",2915.22723043286
88,MA 09 006,Y,Maui,09 12,"Makawao, Hana",Ancient,12.5,200,2-Wheel Drive,La Perouse Bay (4WD & Trail split),Kanaio Beach,Difficult,Hot,"Foot, Horse","Hike, Hunt, Ocean, Archaeology, Fish",None,Private Access (see comments),"Footing, Sun",La Perouse Bay to Kanaio is accessible,Hoapili Trail,2882.20373981394
101,HA 14 001,Y,Hawaii,14,South Kohala,Ancient,3.79999995,30,2-Wheel Drive,Spencer Beach Park (County),Puako Boat Ramp (State),Moderate,Hot,Foot,"Hike, Beach, Fish, Nature Study","Toilet, Parking, Camping, Cabins, Potable water",See Memo,"Cliff, Footing, Flash Floods, Stream, Sun",See Memo,Ala Kahakai Trail (Kawaihae-Waiulaula Sector),1688.62195033994
127, ,O,Hawaii,63,South Hilo, ,0,0, , , , , , , , , , , ,Upper Waiakea ATV/Dirt Bike Park (perimeter),16763.0867678825
87,MA 11 029,Y,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Pineapple Express Downhill Flow Trail,2904.88706728743
92,HA 66 001,Y,Hawaii,66,South Hilo,Unknown,0.60000002,140,2-Wheel Drive,Old Mamalahoa Highway,Onomea Bay Shoreline,Easy,Mild,Foot,"Nature Study, Hike, Ocean, Stream","Parking, Bridge",Permit,Current,"Natural Beauty, Marine Life Cons. Dist.",Onomea Donkey Trail,352.348795953914
89,MA 12 012,Y,Maui,11 12,Makawao,1970's,7,1200,4-Wheel Drive,Kula Forest Reserve Access Road,Upper Waiakoa Trail,Difficult,Cold,Foot,"Hike, Hunt",None,Day,"Hunters, Weather",Trail only partially maintained,Upper Waiohuli Trail,6313.79634096338
90,MA 11 023,Y,Maui,11 12,Makawao,1970's,7,1200,4-Wheel Drive,Kula Forest Reserve Access Road,Waiakao Loop Trail,Difficult,Cold,Foot,"Hike, Hunt",None,Day,"Hunters, Weather",Trail only partially maintained,Upper Waiakoa Trail,3747.1617641947
91,MA 12 011,Y,Maui,12,Makawao, ,1.79999995,520,Foot,0.7 mi on Waiakoa Trail,Skyline Road, , ,"Foot, Bike","Hike, Hunt",None, ,"Footing, Hunters",No Data Sheet submitted,Mamane Trail,1777.93946768523
105,OA 15 016,Y,Oahu,15,Honolulu,Unknown,2.5,2000,2-Wheel Drive,Kuliouou Valley Trail,Koolau Ridge Summit,Difficult,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt","Campsites, Shelter",None,"Cliffs, footing, Rocks, Hunters, Sun",Trail under construction,Kuliouou Ridge Trail (Koko Head),3027.20748906055
106,OA 15 010,Y,Oahu,15,Honolulu,Unknown,3.5,1700,2-Wheel Drive,Ikena Circle-water tank,Koolau summit ridge,Difficult,"Mild, Wet",Foot,"Hike, Nature Study, Hunt, Camp, Bio Sens","Parking, Bench",None,"Cliff, Footing, Hunters, Landslide, Narrow Trail",Easement-explain purpose at guard gate,Hawailoa Ridge Trail,3143.57456439361
136, ,O,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Pauma Track (perimeter),44.6301470690204
137,HA 50 002,Y,Hawaii,50  49  40,Kau,Ancient,14,8350,4-Wheel Drive,Forest Rsv boundary end access road,Mauna Loa Cabin at summit,Difficult,Cold,Foot,Lava Flows,None, ,"Weather, Footing, Hunters", ,Ainapo Trail,17463.787749628
107,OA 15 008,Y,Oahu,15,Honolulu,Unknown,3,2000,2-Wheel Drive,End Laukahi Street-gate blocks acc.,Koolau summit Ridge,Moderate,Mild,Foot,"Hike, Nature Study",None,Private Access,"Cliffs, footing",First part of trail old road,Wiliwilinui Access Road and Trail,2460.88843107455
108,OA 15 008,Y,Oahu,15,Honolulu,Unknown,3,1600,2-Wheel Drive,End Laukahi Street-gate blocks acc.,Koolau summit Ridge,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Camp",Visitors Center,Private Access,"Cliffs, footing",First part of trail old road,Wiliwilinui Access Road and Trail,1206.58072227657
109,OA 13 040,Y,Oahu,13,Honolulu,Unknown,2.4000001,500,2-Wheel Drive,Waahila State Park,Kolowalu Trail,Moderate,Mild,Foot,"Hike, Nature Study","Parking, Toilets, Shelters",Time,"Cliffs, footing, Hunters, Narrow Trail","Open 7-6:45, 7-7:45 summer",Waahila Ridge Trail,2238.79777900299
110,OA 13 038,Y,Oahu,13,Honolulu,Unknown,1,1000,2-Wheel Drive,"End Alani Ln., Kolowalu Picnic Area",Waahila Ridge Trail,Moderate,Mild,Foot,"Hike, Nature Study, Stream","Parking, Camp, Tables, Shelters",None,"Footing, Hunters, Narrow Trail, Uneven Surface","Steep Trail, Maint by Operations",Kolowalu Trail,1625.52979184519
111,OA 13 037,Y,Oahu,13,Honolulu,Unknown,1.20000005,400,2-Wheel Drive,Kolowalu Picnic Area,Manoa Falls Trail,Moderate,Wet,Foot,Hike,Shelters,Private Access,"Footing, Rocks",Proposed trail-need easments,Puu Pia Trail,1115.559924186
128,OA 08 007,Y,Oahu,08,"Waialua, Wahiawa",1930's,3.5,800,4-Wheel Drive,End of Jeep Road,Koolau Ridge,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt","Bench, Camping","Private access, time, permit","Hunters, Footing, Blind Corner, Narrow Trail","Permit-DOFAW, Waialua Sugar, Dole, Army",Poamoho Trail,1480.79413939355
112,OA 15 090,Y,Oahu,15,Koolaupoko,1993,2.75,200,2-Wheel Drive,Mahiku Place,Maunawili-Waimanalo Rd.,Easy,Mild,"Foot, Bicycle, Horse","Hike, Nature Study",Parking,None,"Footing, Uneven Surface",Maint by Hawaii Equestr. Trail Assn.,Maunawili Ditch Trail,3493.21279368295
113,OA 13 088,Y,Oahu,13 15,Koolaupoko,1991,10,500,2-Wheel Drive,Nuuanu Pali Lookout,Waimanalo,Moderate,"Mild, Wet","Foot, Bicycle, Horse","Hike, Nature Study",None,None,"Cliffs, Footing", ,Maunawili Trail,11043.084228994
114,OA 12 010,Y,Oahu,12,Honolulu,Unknown,4,600,2-Wheel Drive,End of Ala Aolani Road-park,Rd. turns trail at 2.5-ends at 4.0,Easy,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Stream, Archeo, Culture","Camp, Parking, Toilets, Water, Tables, Trash","Private Access, Permit","Blind Corner, Footing, Flash Floods, Hunters",Permit - Moanalua Garden Foundation,Kamananui Valley Road,5784.36604139176
115,OA 12 011,Y,Oahu,12,Honolulu,Unknown,2.75,1400,2-Wheel Drive,2 miles up Kamananui Valley Road,Koolau Summit,Moderate,Mild,Foot,"Hike, Nature Study, Stream, Hunt, Cultural",Parking,Private Access,"Footing, Cliffs, Hunters, Flash Floods, Rocks",Permit - Moanalua Garden Foundation,Kulanaahane Trail,2872.19415901979
116,OA 09 011,Y,Oahu,09 12,Ewa,Unknown,7.19999981,1600,2-Wheel Drive,"Waimano Home Gate, left of fence",Koolau Ridge,Difficult,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Stream, Hunt, Archery","Camping, Parking, Shelter",None,"Hunters, Footing, Floods, Cliff",Camping permit from DOFAW,Upper Waimano Trail,7078.55768527702
117,OA 09 022,Y,Oahu,09,Ewa,Unknown,0,0,2-Wheel Drive,End of Komo Mai Drive, , , , , , , , , ,Manana Trail Access,683.805257718968
118,OA 09 008,Y,Oahu,09 12,Ewa,Unknown,6,1700,2-Wheel Drive,End of Komo Mai Drive,Koolau Ridge,Difficult,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Archery, Bio. Sens.","Camping, Parking Shelters", ,"Hunters, Footing, Cliffs, Fire, Narrow Trail, Sun",Camping permit-DOFAW,Manana Trail,3680.98798294097
119,OA 08 012,Y,Oahu,08,Wahiawa,Unknown,4,700,2-Wheel Drive,End Schofield-Waikane Access,Koolau Ridge,Difficult,"Mild, Wet",Foot,"Hike, Nature Study",None,"Permit, Private Access, Time","Cliffs, Footing",Permit - Army Support Command,Schofield-Waikane Trail,3271.32446385617
120,OA 19 003,Y,Oahu,13,Honolulu,Unknown,1.5,200,2-Wheel Drive,Round Top Drive,Tantalus Drive,Easy,"Mild, Wet",Foot,"Hike, Nature Study, Hunt, Bio. Sens.","Parking, Bench, Bridge",None,"Cliff, Footing, Hunters, Landslide, Narrow Trail",Makiki Tantalus complex,Kalawahine Trail,1752.42201152043
121,OA 13 030,Y,Oahu,13,Honolulu,Unknown,2.29999995,500,2-Wheel Drive,Round Top Drive,Tantalus Drive,Easy,"Mild, Wet",Foot,"Hike, Nature Study, Bio. Sens.","Parking, Bridge, Bench, Interpretive Signs",None,"Cliff, Footing, Hunters, Landslides, Narrow Trail",Makiki Tantalus complex,Manoa Cliff Trail,3274.25947820404
129,OA 08 012,Y,Oahu,08,Wahiawa,Unknown,4,700,2-Wheel Drive,End Schofield-Waikane Access,Koolau Ridge,Difficult,"Mild, Wet",Foot,"Hike, Nature Study",None,"Permit, Private Access, Time","Cliffs, Footing",Permit - Army Support Command,Schofield-Waikane Trail,2598.88036137474
122,HA 24 007,Y,Hawaii,24,North Kohala,Unknown,0.5,420,2-Wheel Drive,Pololu Lookout,Awini tr. at base of Kupehau Ridge,Moderate,Mild,"Foot, Horse","Hike, Beach, Nature Study, Stream",None,None,"Cliffs, Shorebreak, Rocks, Flash Floods, Currents", ,Pololu Trail,674.454057028801
123,HA 47 001,Y,Hawaii,47,North Hilo,Unknown,1,200,2-Wheel Drive,Puu Huluhulu parking area,Same as start,Easy,Cold,Foot,"Hike, Hunt, Nature Study, Culture, Bio. Sens.","Parking, Toilets",None,"Hunters, Cliff, Rocks, High Elevation, Sun", ,Puu Huluhulu Trail,1591.18563372
125,HA 22 001,Y,Hawaii,22,Kau,1985,2.0999999,400,2-Wheel Drive,Manuka State Park,Manuka State Park,Easy,Mild,Foot,"Hike, Nature Study, Camp, Bio. Sens.","Toilets, Tables, Parking, Camp, Firepit, Trash", ,Footing,Interpretive Center,Manuka Loop Trail,3497.02186360085
126,HA 55 008,Y,Hawaii,55,South Hilo, ,0,0, , , , , , , , , , , ,Kaulana Manu Native Bird and Plant Sanctuary,484.658433483266
130, ,O,Oahu,03 07,Koolauloa, ,0.63,0,2-Wheel Drive,0.5 mi past Sunset Beach,Park, , ,"Motorized OHV, bicycle",Entry Fee,"Parking, Tables, Trash Cans, Toilets", ,"Blind Corner, Fire, Narrow Trail", ,Kahuku Motocross Park (perimeter),6691.97401512566
131,MA 11 030,Y,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Secret Trail,270.570757325629
132,MA 11 031,Y,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Tweener Trail,333.904924370647
133,MA 11 002,Y,Maui,11,Makawao,1961,1.60000002,900,4-Wheel Drive,Makawao Forest Reserve boundary,Piiholo Reservoir,Moderate,Mild,"4WD, Foot, Horse","Hunting, Hike",None,Private Access,Hunters,Tree planting road,Fong Ridge Road/Trail,986.582115339065
134, ,O,Maui,11,Makawao, ,0,0, , , , , , , , , , , ,Akahi Akahi Track (perimeter),44.6307186601704
138,HA 50 001,Y,Hawaii,50,Kau,Unknown,5.5,2200,2-Wheel Drive,Hawaii Belt Hwy (Hwy11),Forest Reserve Boundary, ,"Dry, Hot",4WD,None,None,Private Access, ,Required to contact Kapapala Ranch,Ainapo Trail Access Road,13020.6874341349
139,HA 35 001,Y,Hawaii,35 24,Hamakua,Ancient,9,1200,4-Wheel Drive,West side Waipio Valley,Waimanu Valley,Difficult,"Wet, Mild",Foot,"Hike, Stream, Ocean, Culture, Hunt","Camping, Toilets",None,"Cliff, Footing, Shorebreak, Rocks, Flash Flood", ,Muliwai Trail,11365.9173655293
140,OA 09 011,Y,Oahu,09 12,Ewa,Unknown,7.19999981,1600,2-Wheel Drive,"Waimano Home Gate, left of fence",Koolau Ridge,Difficult,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Stream, Hunt, Archery","Camping, Parking, Shelter",None,"Hunters, Footing, Floods, Cliff",Camping permit from DOFAW,Upper Waimano Trail,2813.25719782644
141,OA 09 008,Y,Oahu,09 12,Ewa,Unknown,6,1700,2-Wheel Drive,End of Komo Mai Drive,Koolau Ridge,Difficult,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Archery, Bio. Sens.","Camping, Parking Shelters", ,"Hunters, Footing, Cliffs, Fire, Narrow Trail, Sun",Camping permit-DOFAW,Manana Trail,3463.1655878645
142,MA 11 021,Y,Maui,11,Makawao,1970's,3,400,4-Wheel Drive,Waiakoa Gate at Kula For.Res. Bound,Waiakoa Gate at Kula ForRes Boundar,Moderate,Cold,"Foot, Bicycle","Hike, Hunt",None,Day,Hunters,Trail only partially maintained.,Waiakoa Loop Trail Access Road,1086.76302297642
143,KA 03 011,Y,Kauai,03 01,Waimea,1930s,3.79999995,1566,2-Wheel Drive,"15.3 mi on Hwy 550, Kokee SP"," USGS marker ""Lolo No. 2""",Difficult,Mild,Foot,"Hike, Hunt, Nature Study",None,Day,"Hunters, Cliffs, Landslides",Equestrian use by hunters only.,Nualolo Trail,505.403933113813
144,KA 03 011,Y,Kauai,03 01,Waimea,1930s,3.79999995,1566,2-Wheel Drive,"15.3 mi on Hwy 550, Kokee SP"," USGS marker ""Lolo No. 2""",Difficult,Mild,Foot,"Hike, Hunt, Nature Study",None,Day,"Hunters, Cliffs, Landslides",Equestrian use by hunters only.,Nualolo Trail,5216.35338101435
145,KA 01 004,Y,Kauai,01,Waimea, ,2.0999999,780,Foot,2.75 mi on Awaawapuhi Trail,Lolo No.2 Bench Mark,Moderate,"Mild, Dry",Foot,"Hike, Hunt, Nature Study","Shelters, Tables",Day,"Cliffs, footing, landslides, hunters",Dangerous section at Nualolo Trail.,Nualolo Cliff Trail,2940.8861150619
146,KA 01 004,Y,Kauai,01,Waimea, ,2.0999999,780,Foot,2.75 mi on Awaawapuhi Trail,Lolo No.2 Bench Mark,Moderate,"Mild, Dry",Foot,"Hike, Hunt, Nature Study","Shelters, Tables",Day,"Cliffs, footing, landslides, hunters",Dangerous section at Nualolo Trail.,Nualolo Cliff Trail,876.110324560034
147,KA 03 010,Y,Kauai,03 01,"Hanalei, Waimea",1930s,3.0999999,1180,2-Wheel Drive,"17.0 mi on Hwy 550, Kokee SP",2200-foot elev. on Awaawapuhi Ridge,Difficult,Mild,Foot,"Bio. Sens., Hike, Hunt, Nature Study, Scenic View",None,Day,"Hunters, Cliffs, Landslides, Bees",Hazardous cliffs at end.,Awaawapuhi Trail,4859.01225855012
148,MA 13 005,Y,Maui,13,Hana, ,0,40,2-Wheel Drive,"Hana Hwy, Keanae Arboretum",Taro patch auwai intake,Easy,Mild,Foot,"Hike, Nature Study, Stream, Archaeology, Culture",None,Day,"Cliff, Footing, Flash Flood, Waves",None,Keanae Arboretum Walk,1305.55050109517
149,MA 05 001,Y,Maui,05,Wailuku,1960's,2.5,1500,2-Wheel Drive,Hwy 34/up Cmp Maluhia Rd/by trl sgn,Lanilili Peak,Moderate,Mild,"Foot, Horse","Hike, Nature Study, Hunt",Table,Day,Hunters, ,Waihee Ridge Trail,3049.45401966328
